allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
12 News Now KBMT,News Media,Center,https://www.12newsnow.com/,https://www.allsides.com/news-source/12-news-now-kbmt-media-bias
12News,News Media,Center,https://www.12news.com/,https://www.allsides.com/news-source/12news-media-bias
1819 News,News Media,Lean Right,https://1819news.com/,https://www.allsides.com/news-source/1819-news-media-bias
27 East,News Media,Center,https://www.27east.com/,https://www.allsides.com/news-source/27-east-media-bias
4029 News,News Media,Center,https://www.4029tv.com/,https://www.allsides.com/news-source/4029-news-media-bias
538 (ABC News),News Media,Center,https://abcnews.go.com/538,https://www.allsides.com/news-source/fivethirtyeight-0
9 & 10 News,News Media,Center,https://www.9and10news.com/,https://www.allsides.com/news-source/9-10-news-media-bias
A Project for America,Think Tank / Policy Group,Center,https://communityconversationsforamerica.org/,https://www.allsides.com/news-source/project-america-media-bias
A Starting Point,Video,Mixed,https://www.astartingpoint.com/,https://www.allsides.com/news-source/starting-point-media-bias
AARP,Think Tank / Policy Group,Center,http://www.aarp.org/,https://www.allsides.com/news-source/aarp-media-bias
ABC 11 WTVD,News Media,Center,https://abc11.com/,https://www.allsides.com/news-source/abc-11-wtvd-media-bias
ABC 12,News Media,Center,https://www.abc12.com/,https://www.allsides.com/news-source/abc-12-media-bias
ABC 13 WTVG,News Media,Center,https://www.13abc.com/,https://www.allsides.com/news-source/abc-13-wtvg-media-bias
ABC 15 Arizona,News Media,Center,https://www.abc15.com/,https://www.allsides.com/news-source/abc-15-arizona-media-bias
ABC 16 WAPT,News Media,Center,https://www.wapt.com/,https://www.allsides.com/news-source/abc-16-wapt-media-bias
ABC 25 KXXV,News Media,Center,https://www.kxxv.com/,https://www.allsides.com/news-source/abc-25-kxxv-media-bias
ABC 27 WHTM,News Media,Center,https://www.abc27.com/,https://www.allsides.com/news-source/abc-27-whtm-media-bias
ABC 27 WKOW,News Media,Center,https://www.wkow.com/,https://www.allsides.com/news-source/abc-27-wkow-media-bias
ABC 4 WTAE,News Media,Center,https://www.wtae.com/,https://www.allsides.com/news-source/abc-4-wtae-media-bias
ABC 47 WMDT,News Media,Center,https://www.wmdt.com/,https://www.allsides.com/news-source/abc-47-wmdt-media-bias
ABC 5 NEWS,News Media,Center,https://www.news5cleveland.com/,https://www.allsides.com/news-source/abc-5-wews-media-bias
ABC 57,News Media,Center,https://abc57.com/,https://www.allsides.com/news-source/abc-57-media-bias
ABC 6,News Media,Center,https://www.abc6.com/,https://www.allsides.com/news-source/abc-6-media-bias
ABC 6 KAAL,News Media,Center,https://www.kaaltv.com/,https://www.allsides.com/news-source/abc-6-kaal-media-bias
ABC 6 WPVI,News Media,Center,https://6abc.com/,https://www.allsides.com/news-source/abc-6-wpvi-media-bias
ABC 7 Chicago,News Media,Center,https://abc7chicago.com,https://www.allsides.com/news-source/abc-7-chicago-media-bias
ABC 7 KETV,News Media,Center,https://www.ketv.com/,https://www.allsides.com/news-source/abc-7-ketv-media-bias
ABC 7 KVIA,News Media,Center,https://kvia.com/,https://www.allsides.com/news-source/abc-7-kvia-media-bias
ABC 7 New York,News Media,Center,https://abc7ny.com/,https://www.allsides.com/news-source/abc-7-new-york-media-bias
ABC 7 WXYZ,News Media,Center,https://www.wxyz.com/,https://www.allsides.com/news-source/abc-7-wxyz-media-bias
ABC 8 KLKN,News Media,Center,https://www.klkntv.com/,https://www.allsides.com/news-source/abc-8-klkn-media-bias
ABC 8 WRIC,News Media,Center,https://www.wric.com/,https://www.allsides.com/news-source/abc-8-wric-media-bias
ABC 9 WMUR,News Media,Center,https://www.wmur.com/,https://www.allsides.com/news-source/abc-9-wmur-media-bias
ABC News (Online),News Media,Lean Left,http://abcnews.go.com/,https://www.allsides.com/news-source/abc-news-media-bias
ABC News 10 Vermont,News Media,Center,https://www.news10.com/news/vt-news/,https://www.allsides.com/news-source/abc-news-10-vermont-media-bias
ABC13 Houston,News Media,Center,https://abc13.com/,https://www.allsides.com/news-source/abc13-houston-media-bias
ABC4 Utah,News Media,Center,https://www.abc4.com/,https://www.allsides.com/news-source/ktvx
Aberdeen News,News Media,Center,https://www.aberdeennews.com/,https://www.allsides.com/news-source/aberdeen-news-media-bias
Above The Law,News Media,Lean Left,https://abovethelaw.com/,https://www.allsides.com/news-source/above-law-media-bias
Abridge News,News Media,Mixed,https://abridgenews.com,https://www.allsides.com/news-source/abridge-news-media-bias
Accuracy in Media ,Think Tank / Policy Group,Right,http://www.aim.org,https://www.allsides.com/news-source/accuracy-media
ACLU,Think Tank / Policy Group,Lean Left,https://www.aclu.org/,https://www.allsides.com/news-source/american-civil-liberties-union
Action News Jax,News Media,Center,https://www.actionnewsjax.com/,https://www.allsides.com/news-source/action-news-jax-media-bias
Addison County Independent,News Media,Center,https://www.addisonindependent.com/,https://www.allsides.com/news-source/addison-county-independent-media-bias
